title,region,language,titleType,primaryTitle,startYear,genres,averageRating,numVotes,isAdult
The Governor,US,en,movie,The Governor,1915,Drama,6.1,300,0.0
Les Misérables,US,en,movie,Les Misérables,1917,Drama,5.9,19,0.0
Broken Blossoms,US,en,movie,Broken Blossoms,1919,"Drama,Romance",7.3,9115,0.0
The Lodger,GB,en,movie,The Lodger: A Story of the London Fog,1927,"Crime,Drama,Mystery",7.3,9755,0.0
Sunrise,US,en,movie,Sunrise,1927,"Drama,Romance",8.1,45492,0.0
The Blue Angel,US,en,movie,The Blue Angel,1930,"Drama,Music",7.7,13128,0.0
The Public Be Hanged,GB,en,movie,The World Gone Mad,1933,"Crime,Drama,Mystery",4.7,433,0.0
The Public Be Damned,US,en,movie,The World Gone Mad,1933,"Crime,Drama,Mystery",4.7,433,0.0
March of the Wooden Soldiers,US,en,movie,March of the Wooden Soldiers,1934,"Comedy,Family,Fantasy",7.2,5836,0.0
David Copperfield,US,en,movie,David Copperfield,1935,"Adventure,Drama,Romance",7.4,3618,0.0
Les Misérables,US,en,movie,Les Misérables,1935,"Drama,History,Romance",7.6,3224,0.0
Scotland Yard Commands,US,en,movie,Scotland Yard Commands,1936,"Action,Crime,Drama",6.5,39,0.0
Reefer Madness,US,en,movie,Reefer Madness,1936,"Crime,Drama",3.8,7599,0.0
Mad About Money,US,en,movie,Stardust,1938,"Comedy,Musical,Romance",4.5,28,0.0
He Loved an Actress,US,en,movie,Stardust,1938,"Comedy,Musical,Romance",4.5,28,0.0
The Colorado Trail,GB,en,movie,Pals of the Silver Sage,1940,"Action,Adventure,Music",5.6,14,0.0
The Jungle Book,US,en,movie,The Jungle Book,1942,"Action,Adventure,Family",6.7,3643,0.0
Henry V,GB,en,movie,Henry V,1944,"Biography,Drama,History",7.1,5526,0.0
Fort Apache,US,en,movie,Fort Apache,1948,"Action,Adventure,Western",7.5,15770,0.0
She Wore a Yellow Ribbon,US,en,movie,She Wore a Yellow Ribbon,1949,Western,7.3,15193,0.0
